Tamanho da Lista;Tipo de Lista;Bubble Sort - Tempo (ms);Bubble Sort - comparacoes;Bubble Sort - Trocas;Selection Sort - Tempo (ms);Selection Sort - comparacoes;Selection Sort - Trocas;Insertion Sort - Tempo (ms);Insertion Sort - comparacoes;Insertion Sort - Trocas;Merge Sort - Tempo (ms);Merge Sort - comparacoes;Merge Sort - Trocas;Quick Sort - Tempo (ms);Quick Sort - comparacoes;Quick Sort - Trocas;Heap Sort - Tempo (ms);Heap Sort - comparacoes;Heap  Sort - Trocas
1000;Aleatoria;4;499500;251478;0;499500;993;1;252477;251478;2;8699;1277;0;9330;5103;1;16854;9096
1000;Ordenada;1;499500;0;4;499500;0;0;999;0;0;5044;4932;0;7987;4449;0;17583;9709
1000;Inversa;3;499500;499500;4;499500;500;2;500499;499500;0;4932;5044;0;14378;8925;0;15965;8317
10000;Aleatoria;415;49995000;25124789;192;49995000;9991;105;25134788;25124789;5;120405;13211;2;132067;69310;3;235353;124135
10000;Ordenada;183;49995000;0;180;49995000;0;0;9999;0;5;69008;64608;1;113631;60517;3;244460;131957
10000;Inversa;392;49995000;49950000;162;49995000;5000;177;50004999;49995000;6;64608;69008;2;225614;138745;3;226682;116697
50000;Aleatoria;9667;1249975000;624908526;4969;1249975000;49987;1971;624958525;624908526;32;718052;66412;8;809633;409429;22;1409932;737576
50000;Ordenada;3116;1249975000;0;3819;1249975000;0;1;49999;0;23;401952;382512;4;684481;365285;17;1455438;773305
50000;Inversa;6361;1249975000;1249975000;3441;1249975000;25000;3736;1250024999;1249975000;27;382512;401952;10;1418614;867905;15;1366047;698893
100000;Aleatoria;33592;4999950000;2499068268;17255;4999950000;99985;7554;2499168267;2499068268;62;1536197;132731;18;1782811;851894;45;3019884;1574964
100000;Ordenada;14185;4999950000;0;16379;4999950000;0;1;99999;0;51;853904;815024;10;1468946;780565;34;3112517;1650855
100000;Inversa;28424;4999950000;4999950000;15539;4999950000;50000;14884;5000049999;4999950000;51;815024;853904;21;3087334;1885849;34;2926640;14974350
